,city,state,lat,lon,boundingboxes
203,Oakhurst,New Jersey,40.2613085,-74.02665522857244,"['40.2518300', '40.2709718', '-74.0420110', '-74.0111860']"
204,Winlock,Washington,46.4924025,-122.9388355,"['46.4801330', '46.5071210', '-122.9508560', '-122.9189170']"
205,Sharon,Massachusetts,42.1237328,-71.1787282,"['42.0573620', '42.1659303', '-71.2398981', '-71.1311937']"
206,Forest Oaks,North Carolina,35.9922024,-79.71275182447212,"['35.9678320', '36.0164380', '-79.7343310', '-79.6825610']"
207,Washingtonville,New York,41.4278716,-74.1659798,"['41.4164810', '41.4436330', '-74.1787860', '-74.1305230']"
208,Montpelier,Maryland,39.061498,-76.8508058,"['39.0514980', '39.0714980', '-76.8608058', '-76.8408058']"
209,Plantation,Florida,26.12744855,-80.25779069425029,"['26.0925707', '26.1608418', '-80.3301597', '-80.1972388']"
210,Tehaleh,Washington,47.1224094,-122.1710904,"['47.1124094', '47.1324094', '-122.1810904', '-122.1610904']"
211,Amity,Arkansas,34.2648201,-93.4610173,"['34.2527767', '34.2810085', '-93.4802953', '-93.4446826']"
212,Warrensburg,Missouri,38.7624373,-93.7409596,"['38.7375380', '38.7870333', '-93.7642670', '-93.6874560']"
213,Greenbriar,Virginia,38.8783067,-77.3969622,"['38.8583067', '38.8983067', '-77.4169622', '-77.3769622']"
214,McFarland,California,35.6780104,-119.2292748,"['35.6632730', '35.6924390', '-119.2856760', '-119.2150800']"
215,Archbold,Ohio,41.5211332,-84.3065469,"['41.4857120', '41.5433214', '-84.3257860', '-84.2770430']"
216,South Gate Ridge,Florida,27.284866899999997,-82.49758598913893,"['27.2692440', '27.2988090', '-82.5067260', '-82.4892729']"
217,Northlake,South Carolina,34.571079999999995,-82.68510271767839,"['34.5458883', '34.5962720', '-82.7212860', '-82.6564000']"
218,Middletown,Rhode Island,41.5456578,-71.2914388,"['41.4722750', '41.5612845', '-71.3141173', '-71.2330406']"
219,Scottdale,Georgia,33.7898269,-84.2640889,"['33.7498269', '33.8298269', '-84.3040889', '-84.2240889']"
220,Nortonville,Kentucky,37.1908777,-87.4527768,"['37.1736800', '37.1979190', '-87.4667870', '-87.4451120']"
221,Claverack-Red Mills,New York,42.2271423,-73.71637124264439,"['42.2133737', '42.2411197', '-73.7507980', '-73.6989020']"
222,West Elmira,New York,42.0781299,-76.8452357,"['42.0728490', '42.1056636', '-76.8652490', '-76.8262020']"
223,Ocklawaha,Florida,29.0427592,-81.9292505,"['29.0227592', '29.0627592', '-81.9492505', '-81.9092505']"
224,Port Orange,Florida,29.1386874,-80.9968286,"['29.0447256', '29.1578148', '-81.0724063', '-80.9637001']"
225,La Moille,Illinois,41.5317006,-89.2798104,"['41.5208030', '41.5388290', '-89.3058470', '-89.2712160']"
226,Schaghticoke,New York,42.8944113,-73.5872328,"['42.8896590', '42.9075520', '-73.6010460', '-73.5760090']"
227,Forsyth,Missouri,36.6850612,-93.1199012,"['36.6699760', '36.7089650', '-93.1277920', '-93.0800850']"
